scenario,M,tau,seed_strategy,n_seeds,final_size,duration,speed
calm,0.0,0.2,high,1,0.004545454545454545,0,0.0
mild_stress,0.05,0.2,high,1,0.004545454545454545,0,0.0
medium_stress,0.1,0.2,high,1,0.004545454545454545,0,0.0
heavy_stress,0.2,0.2,high,1,1.0,8,27.375
crisis_stress,0.3,0.2,high,1,1.0,5,43.8
calm,0.0,0.2,high,3,0.013636363636363636,0,0.0
mild_stress,0.05,0.2,high,3,0.013636363636363636,0,0.0
medium_stress,0.1,0.2,high,3,0.01818181818181818,1,1.0
heavy_stress,0.2,0.2,high,3,1.0,8,27.125
crisis_stress,0.3,0.2,high,3,1.0,5,43.4
calm,0.0,0.2,high,5,0.022727272727272728,0,0.0
mild_stress,0.05,0.2,high,5,0.022727272727272728,0,0.0
medium_stress,0.1,0.2,high,5,0.759090909090909,5,32.4
heavy_stress,0.2,0.2,high,5,1.0,8,26.875
crisis_stress,0.3,0.2,high,5,1.0,5,43.0
calm,0.0,0.2,high,10,0.045454545454545456,0,0.0
mild_stress,0.05,0.2,high,10,0.045454545454545456,0,0.0
medium_stress,0.1,0.2,high,10,0.759090909090909,3,52.333333333333336
heavy_stress,0.2,0.2,high,10,1.0,8,26.25
crisis_stress,0.3,0.2,high,10,1.0,5,42.0
calm,0.0,0.2,high,20,0.09545454545454546,1,1.0
mild_stress,0.05,0.2,high,20,0.759090909090909,3,49.0
medium_stress,0.1,0.2,high,20,0.759090909090909,3,49.0
heavy_stress,0.2,0.2,high,20,1.0,8,25.0
crisis_stress,0.3,0.2,high,20,1.0,5,40.0
calm,0.0,0.3,high,1,0.004545454545454545,0,0.0
mild_stress,0.05,0.3,high,1,0.004545454545454545,0,0.0
medium_stress,0.1,0.3,high,1,0.004545454545454545,0,0.0
heavy_stress,0.2,0.3,high,1,0.759090909090909,4,41.5
crisis_stress,0.3,0.3,high,1,0.759090909090909,3,55.333333333333336
calm,0.0,0.3,high,3,0.013636363636363636,0,0.0
mild_stress,0.05,0.3,high,3,0.013636363636363636,0,0.0
medium_stress,0.1,0.3,high,3,0.013636363636363636,0,0.0
heavy_stress,0.2,0.3,high,3,0.759090909090909,4,41.0
crisis_stress,0.3,0.3,high,3,0.759090909090909,3,54.666666666666664
calm,0.0,0.3,high,5,0.022727272727272728,0,0.0
mild_stress,0.05,0.3,high,5,0.022727272727272728,0,0.0
medium_stress,0.1,0.3,high,5,0.022727272727272728,0,0.0
heavy_stress,0.2,0.3,high,5,0.759090909090909,3,54.0
crisis_stress,0.3,0.3,high,5,0.759090909090909,3,54.0
calm,0.0,0.3,high,10,0.045454545454545456,0,0.0
mild_stress,0.05,0.3,high,10,0.045454545454545456,0,0.0
medium_stress,0.1,0.3,high,10,0.045454545454545456,0,0.0
heavy_stress,0.2,0.3,high,10,0.759090909090909,3,52.333333333333336
crisis_stress,0.3,0.3,high,10,0.759090909090909,3,52.333333333333336
calm,0.0,0.3,high,20,0.09090909090909091,0,0.0
mild_stress,0.05,0.3,high,20,0.09090909090909091,0,0.0
medium_stress,0.1,0.3,high,20,0.759090909090909,5,29.4
heavy_stress,0.2,0.3,high,20,0.759090909090909,3,49.0
crisis_stress,0.3,0.3,high,20,0.759090909090909,3,49.0
calm,0.0,0.4,high,1,0.004545454545454545,0,0.0
mild_stress,0.05,0.4,high,1,0.004545454545454545,0,0.0
medium_stress,0.1,0.4,high,1,0.004545454545454545,0,0.0
heavy_stress,0.2,0.4,high,1,0.004545454545454545,0,0.0
crisis_stress,0.3,0.4,high,1,0.759090909090909,4,41.5
calm,0.0,0.4,high,3,0.013636363636363636,0,0.0
mild_stress,0.05,0.4,high,3,0.013636363636363636,0,0.0
medium_stress,0.1,0.4,high,3,0.013636363636363636,0,0.0
heavy_stress,0.2,0.4,high,3,0.013636363636363636,0,0.0
crisis_stress,0.3,0.4,high,3,0.759090909090909,4,41.0
calm,0.0,0.4,high,5,0.022727272727272728,0,0.0
mild_stress,0.05,0.4,high,5,0.022727272727272728,0,0.0
medium_stress,0.1,0.4,high,5,0.022727272727272728,0,0.0
heavy_stress,0.2,0.4,high,5,0.02727272727272727,1,1.0
crisis_stress,0.3,0.4,high,5,0.759090909090909,3,54.0
calm,0.0,0.4,high,10,0.045454545454545456,0,0.0
mild_stress,0.05,0.4,high,10,0.045454545454545456,0,0.0
medium_stress,0.1,0.4,high,10,0.045454545454545456,0,0.0
heavy_stress,0.2,0.4,high,10,0.05,1,1.0
crisis_stress,0.3,0.4,high,10,0.759090909090909,3,52.333333333333336
calm,0.0,0.4,high,20,0.09090909090909091,0,0.0
mild_stress,0.05,0.4,high,20,0.09090909090909091,0,0.0
medium_stress,0.1,0.4,high,20,0.09090909090909091,0,0.0
heavy_stress,0.2,0.4,high,20,0.759090909090909,4,36.75
crisis_stress,0.3,0.4,high,20,0.759090909090909,3,49.0
