tau,k,strategy,final_size,duration
0.05,1,high,0.004545454545454545,0.0
0.05,1,low,0.031818181818181815,2.0
0.05,1,random,0.032454545454545444,0.65
0.05,3,high,1.0,11.0
0.05,3,low,0.031818181818181815,1.0
0.05,3,random,0.1265,2.26
0.05,5,high,1.0,7.0
0.05,5,low,0.031818181818181815,1.0
0.05,5,random,0.385,3.94
0.05,10,high,1.0,6.0
0.05,10,low,0.2409090909090909,3.0
0.05,10,random,0.9194090909090908,4.01
0.05,15,high,1.0,6.0
0.05,15,low,0.2409090909090909,2.0
0.05,15,random,0.9927272727272728,3.14
0.05,20,high,1.0,6.0
0.05,20,low,0.2409090909090909,2.0
0.05,20,random,1.0,2.85
0.05,30,high,1.0,6.0
0.05,30,low,0.2409090909090909,1.0
0.05,30,random,1.0,2.34
0.05,50,high,1.0,6.0
0.05,50,low,0.2409090909090909,1.0
0.05,50,random,1.0,2.07
0.05,75,high,1.0,6.0
0.05,75,low,1.0,1.0
0.05,75,random,1.0,1.89
0.05,100,high,1.0,6.0
0.05,100,low,1.0,1.0
0.05,100,random,1.0,1.78
0.1,1,high,0.004545454545454545,0.0
0.1,1,low,0.031818181818181815,2.0
0.1,1,random,0.01059090909090909,0.25
0.1,3,high,0.013636363636363636,0.0
0.1,3,low,0.031818181818181815,1.0
0.1,3,random,0.03736363636363636,0.76
0.1,5,high,0.022727272727272728,0.0
0.1,5,low,0.031818181818181815,1.0
0.1,5,random,0.06709090909090908,1.4
0.1,10,high,0.759090909090909,5.0
0.1,10,low,0.2409090909090909,5.0
0.1,10,random,0.1434090909090909,2.26
0.1,15,high,0.759090909090909,3.0
0.1,15,low,0.2409090909090909,3.0
0.1,15,random,0.3704545454545455,3.68
0.1,20,high,0.759090909090909,2.0
0.1,20,low,0.2409090909090909,2.0
0.1,20,random,0.7485909090909091,3.71
0.1,30,high,0.759090909090909,2.0
0.1,30,low,0.2409090909090909,1.0
0.1,30,random,1.0,3.0
0.1,50,high,0.759090909090909,2.0
0.1,50,low,0.2409090909090909,1.0
0.1,50,random,1.0,2.26
0.1,75,high,0.759090909090909,2.0
0.1,75,low,1.0,3.0
0.1,75,random,1.0,2.07
0.1,100,high,0.759090909090909,2.0
0.1,100,low,1.0,1.0
0.1,100,random,1.0,1.9
0.15,1,high,0.004545454545454545,0.0
0.15,1,low,0.031818181818181815,2.0
0.15,1,random,0.0055000000000000005,0.09
0.15,3,high,0.013636363636363636,0.0
0.15,3,low,0.031818181818181815,1.0
0.15,3,random,0.01654545454545455,0.26
0.15,5,high,0.022727272727272728,0.0
0.15,5,low,0.031818181818181815,1.0
0.15,5,random,0.026045454545454552,0.29
0.15,10,high,0.045454545454545456,0.0
0.15,10,low,0.045454545454545456,0.0
0.15,10,random,0.06990909090909092,1.03
0.15,15,high,0.07272727272727272,1.0
0.15,15,low,0.2409090909090909,5.0
0.15,15,random,0.13509090909090907,2.01
0.15,20,high,0.759090909090909,3.0
0.15,20,low,0.2409090909090909,2.0
0.15,20,random,0.18895454545454546,2.46
0.15,30,high,0.759090909090909,3.0
0.15,30,low,0.2409090909090909,1.0
0.15,30,random,0.7349999999999999,3.76
0.15,50,high,0.759090909090909,2.0
0.15,50,low,0.2409090909090909,1.0
0.15,50,random,0.9980454545454546,2.54
0.15,75,high,0.759090909090909,2.0
0.15,75,low,0.3409090909090909,0.0
0.15,75,random,1.0,2.0
0.15,100,high,0.759090909090909,2.0
0.15,100,low,1.0,1.0
0.15,100,random,1.0,1.75
0.2,1,high,0.004545454545454545,0.0
0.2,1,low,0.004545454545454545,0.0
0.2,1,random,0.005227272727272727,0.08
0.2,3,high,0.013636363636363636,0.0
0.2,3,low,0.031818181818181815,1.0
0.2,3,random,0.015772727272727275,0.2
0.2,5,high,0.022727272727272728,0.0
0.2,5,low,0.031818181818181815,1.0
0.2,5,random,0.024681818181818187,0.2
0.2,10,high,0.045454545454545456,0.0
0.2,10,low,0.045454545454545456,0.0
0.2,10,random,0.05181818181818183,0.58
0.2,15,high,0.06818181818181818,0.0
0.2,15,low,0.06818181818181818,0.0
0.2,15,random,0.08004545454545452,0.9
0.2,20,high,0.09545454545454546,1.0
0.2,20,low,0.2409090909090909,3.0
0.2,20,random,0.12263636363636365,1.5
0.2,30,high,0.759090909090909,3.0
0.2,30,low,0.2409090909090909,1.0
0.2,30,random,0.25177272727272726,2.73
0.2,50,high,0.759090909090909,2.0
0.2,50,low,0.2409090909090909,1.0
0.2,50,random,0.9906363636363636,3.1
0.2,75,high,0.759090909090909,2.0
0.2,75,low,0.3409090909090909,0.0
0.2,75,random,1.0,2.11
0.2,100,high,0.759090909090909,2.0
0.2,100,low,1.0,1.0
0.2,100,random,1.0,1.82
0.25,1,high,0.004545454545454545,0.0
0.25,1,low,0.004545454545454545,0.0
0.25,1,random,0.004590909090909091,0.01
0.25,3,high,0.013636363636363636,0.0
0.25,3,low,0.031818181818181815,2.0
0.25,3,random,0.013863636363636366,0.05
0.25,5,high,0.022727272727272728,0.0
0.25,5,low,0.031818181818181815,1.0
0.25,5,random,0.02381818181818183,0.15
0.25,10,high,0.045454545454545456,0.0
0.25,10,low,0.045454545454545456,0.0
0.25,10,random,0.04827272727272729,0.36
0.25,15,high,0.06818181818181818,0.0
0.25,15,low,0.06818181818181818,0.0
0.25,15,random,0.072,0.44
0.25,20,high,0.09090909090909091,0.0
0.25,20,low,0.09090909090909091,0.0
0.25,20,random,0.09954545454545459,0.74
0.25,30,high,0.1590909090909091,2.0
0.25,30,low,0.2409090909090909,1.0
0.25,30,random,0.17354545454545456,1.55
0.25,50,high,0.759090909090909,2.0
0.25,50,low,0.2409090909090909,1.0
0.25,50,random,0.6274545454545456,3.45
0.25,75,high,0.759090909090909,2.0
0.25,75,low,0.3409090909090909,0.0
0.25,75,random,0.997,2.22
0.25,100,high,0.759090909090909,2.0
0.25,100,low,0.45454545454545453,0.0
0.25,100,random,0.9994545454545454,1.93
0.3,1,high,0.004545454545454545,0.0
0.3,1,low,0.004545454545454545,0.0
0.3,1,random,0.0047272727272727275,0.04
0.3,3,high,0.013636363636363636,0.0
0.3,3,low,0.031818181818181815,2.0
0.3,3,random,0.013954545454545457,0.07
0.3,5,high,0.022727272727272728,0.0
0.3,5,low,0.031818181818181815,1.0
0.3,5,random,0.023272727272727285,0.12
0.3,10,high,0.045454545454545456,0.0
0.3,10,low,0.045454545454545456,0.0
0.3,10,random,0.047863636363636386,0.29
0.3,15,high,0.06818181818181818,0.0
0.3,15,low,0.06818181818181818,0.0
0.3,15,random,0.07009090909090909,0.23
0.3,20,high,0.09090909090909091,0.0
0.3,20,low,0.09090909090909091,0.0
0.3,20,random,0.09390909090909094,0.36
0.3,30,high,0.1409090909090909,1.0
0.3,30,low,0.2409090909090909,2.0
0.3,30,random,0.14545454545454545,0.78
0.3,50,high,0.759090909090909,3.0
0.3,50,low,0.2409090909090909,1.0
0.3,50,random,0.32695454545454544,2.67
0.3,75,high,0.759090909090909,2.0
0.3,75,low,0.3409090909090909,0.0
0.3,75,random,0.9945454545454545,2.72
0.3,100,high,0.759090909090909,2.0
0.3,100,low,0.45454545454545453,0.0
0.3,100,random,0.9991818181818182,2.04
0.4,1,high,0.004545454545454545,0.0
0.4,1,low,0.004545454545454545,0.0
0.4,1,random,0.004681818181818181,0.03
0.4,3,high,0.013636363636363636,0.0
0.4,3,low,0.031818181818181815,2.0
0.4,3,random,0.01372727272727273,0.02
0.4,5,high,0.022727272727272728,0.0
0.4,5,low,0.031818181818181815,1.0
0.4,5,random,0.022863636363636374,0.03
0.4,10,high,0.045454545454545456,0.0
0.4,10,low,0.045454545454545456,0.0
0.4,10,random,0.04690909090909092,0.26
0.4,15,high,0.06818181818181818,0.0
0.4,15,low,0.06818181818181818,0.0
0.4,15,random,0.06995454545454544,0.28
0.4,20,high,0.09090909090909091,0.0
0.4,20,low,0.09090909090909091,0.0
0.4,20,random,0.09431818181818183,0.52
0.4,30,high,0.13636363636363635,0.0
0.4,30,low,0.2409090909090909,2.0
0.4,30,random,0.14059090909090907,0.63
0.4,50,high,0.25,2.0
0.4,50,low,0.2409090909090909,1.0
0.4,50,random,0.2418181818181818,1.17
0.4,75,high,0.759090909090909,2.0
0.4,75,low,0.3409090909090909,0.0
0.4,75,random,0.441,2.35
0.4,100,high,0.759090909090909,2.0
0.4,100,low,0.45454545454545453,0.0
0.4,100,random,0.990181818181818,2.36
0.5,1,high,0.004545454545454545,0.0
0.5,1,low,0.004545454545454545,0.0
0.5,1,random,0.004590909090909091,0.01
0.5,3,high,0.013636363636363636,0.0
0.5,3,low,0.013636363636363636,0.0
0.5,3,random,0.013954545454545459,0.07
0.5,5,high,0.022727272727272728,0.0
0.5,5,low,0.031818181818181815,2.0
0.5,5,random,0.02327272727272728,0.12
0.5,10,high,0.045454545454545456,0.0
0.5,10,low,0.045454545454545456,0.0
0.5,10,random,0.04622727272727275,0.16
0.5,15,high,0.06818181818181818,0.0
0.5,15,low,0.06818181818181818,0.0
0.5,15,random,0.0693181818181818,0.21
0.5,20,high,0.09090909090909091,0.0
0.5,20,low,0.09090909090909091,0.0
0.5,20,random,0.09277272727272731,0.33
0.5,30,high,0.13636363636363635,0.0
0.5,30,low,0.13636363636363635,0.0
0.5,30,random,0.13868181818181816,0.37
0.5,50,high,0.22727272727272727,0.0
0.5,50,low,0.2409090909090909,1.0
0.5,50,random,0.23259090909090907,0.67
0.5,75,high,0.759090909090909,3.0
0.5,75,low,0.3409090909090909,0.0
0.5,75,random,0.36409090909090913,1.41
0.5,100,high,0.759090909090909,3.0
0.5,100,low,0.45454545454545453,0.0
0.5,100,random,0.5712272727272727,2.64
